Env,Algorithm,Seed,Shift_Condition,Success_Rate,Mean_Return,Representation_Distance
procgen:procgen-coinrun-v0,DataAugmented_PPO,42,Compound_Level4,0.52,5.2,14.854232788085938
procgen:procgen-coinrun-v0,DataAugmented_PPO,100,Clean,0.0,0.0,0.0
procgen:procgen-coinrun-v0,DataAugmented_PPO,100,Noise_Low,0.02,0.2,46.52531433105469
procgen:procgen-coinrun-v0,DataAugmented_PPO,100,Noise_High,0.24,2.4,31.276025772094727
procgen:procgen-coinrun-v0,DataAugmented_PPO,100,Distractor_1,0.42,4.2,23.20781898498535
procgen:procgen-coinrun-v0,DataAugmented_PPO,100,Distractor_3,0.52,5.2,18.97004508972168
procgen:procgen-coinrun-v0,DataAugmented_PPO,100,Viewpoint_15deg,0.42,4.2,28.399063110351562
procgen:procgen-coinrun-v0,DataAugmented_PPO,100,Viewpoint_30deg,0.42,4.2,24.45601463317871
procgen:procgen-coinrun-v0,DataAugmented_PPO,100,Occlusion_15pct,0.56,5.6,17.6166934967041
procgen:procgen-coinrun-v0,DataAugmented_PPO,100,Blur_K7,0.0,0.0,30.567827224731445
procgen:procgen-coinrun-v0,DataAugmented_PPO,100,Compound_Level2,0.44,4.4,24.1108455657959
procgen:procgen-coinrun-v0,DataAugmented_PPO,100,Compound_Level4,0.52,5.2,23.34408950805664
MultiStageNavigation-v0,PPO_Standard,0,Clean,0.0,148.99084088949928,0.0
MultiStageNavigation-v0,PPO_Standard,0,Noise_Low,0.0,149.38176402512048,3.934678077697754
MultiStageNavigation-v0,PPO_Standard,0,Noise_High,0.0,122.701647868497,49.66515350341797
MultiStageNavigation-v0,PPO_Standard,0,Distractor_1,0.0,139.74805255617412,3.749100685119629
MultiStageNavigation-v0,PPO_Standard,0,Distractor_3,0.18,86.17132675429185,33.8718376159668
MultiStageNavigation-v0,PPO_Standard,0,Viewpoint_15deg,0.0,149.587913747515,4.518133640289307
MultiStageNavigation-v0,PPO_Standard,0,Viewpoint_30deg,0.0,147.75582312595276,5.488471031188965
MultiStageNavigation-v0,PPO_Standard,0,Occlusion_15pct,0.02,129.80290952387307,9.421637535095215
MultiStageNavigation-v0,PPO_Standard,0,Blur_K7,0.0,152.12382003670646,10.932008743286133
MultiStageNavigation-v0,PPO_Standard,0,Compound_Level2,0.08,91.44915931431314,11.703289031982422
MultiStageNavigation-v0,PPO_Standard,0,Compound_Level4,0.08,84.52972099531262,77.18529510498047
MultiStageNavigation-v0,PPO_Standard,42,Clean,0.0,137.61134009906223,0.0
MultiStageNavigation-v0,PPO_Standard,42,Noise_Low,0.0,136.68294043359302,14.739981651306152
MultiStageNavigation-v0,PPO_Standard,42,Noise_High,0.02,93.25565359933039,24.348731994628906
MultiStageNavigation-v0,PPO_Standard,42,Distractor_1,0.0,125.93809285561241,4.055488109588623
MultiStageNavigation-v0,PPO_Standard,42,Distractor_3,0.08,80.33015886352176,50.622806549072266
MultiStageNavigation-v0,PPO_Standard,42,Viewpoint_15deg,0.0,136.4080621743202,1.5421613454818726
MultiStageNavigation-v0,PPO_Standard,42,Viewpoint_30deg,0.0,134.8080696512404,2.3781137466430664
MultiStageNavigation-v0,PPO_Standard,42,Occlusion_15pct,0.0,127.3291404220036,7.215240955352783
MultiStageNavigation-v0,PPO_Standard,42,Blur_K7,0.0,137.299257821242,7.434432029724121
MultiStageNavigation-v0,PPO_Standard,42,Compound_Level2,0.08,86.38510084546743,11.668591499328613
MultiStageNavigation-v0,PPO_Standard,42,Compound_Level4,0.0,72.23005049444382,37.99245834350586
