Algorithm,Seed,Success_Rate,Mean_CLE
PPO,0,0.004,61.644135
PPO,42,0.0045,63.64635
PPO,100,0.0015,61.29699
PPO,123,0.008,57.071335
PPO,999,0.01,60.159477
