Seed,Scratch_Target_CLE,ZeroShot_Jumpstart_CLE,FineTuned_Target_CLE,Scratch_Success,FineTuned_Success
0,77.95,96.85,48.60,0.003,0.020
42,81.50,102.10,50.00,0.002,0.016
100,74.40,91.60,47.20,0.004,0.024
123,79.10,98.40,49.10,0.003,0.018
999,76.80,95.20,48.10,0.003,0.022
