RewardType,Architecture,Training_Steps,Seeds_Evaluated,Mean_Episode_Return,Episode_Return_CI95,Success_Rate_Mean,Success_Rate_CI95,Key_Picked_Rate_Mean,Hover_Exploit_Steps_Mean,Hover_Exploit_Steps_CI95,Hacking_Observed
sparse,Pre-Trained ResNet-18,1000000,5,0.88,0.06,0.88,0.06,0.96,4.2,1.5,False
hackable_shaped,Pre-Trained ResNet-18,1000000,5,142.5,8.2,0.12,0.04,0.98,168.4,7.2,True
